price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
1086022,3,79.79,Primary,Other/ No data,No data,2025.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Dębniki,4.5,2,Yes,Yes,Yes,Yes,No_data,No_data,0.03759869657851861
1299000,3,72.0,Secondary,Apartment building,"Mixed construction, other",2024.0,Central city heating,Kitchenette,10.0,4.0,Prądnik Biały,3.6,4,Yes,Yes,Yes,Yes,No_data,Yes,0.041666666666666664
633000,2,45.18,Primary,Apartment building,Brick,2026.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.04426737494466578
1299800,3,52.0,Primary,Other/ No data,No data,2022.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Stare Miasto,0.4,0,Yes,No_data,No_data,Yes,No_data,Yes,0.057692307692307696
1549000,5,142.0,Secondary,Apartment building,Brick,1993.0,Central city heating,Separate kitchen,9.0,3.7804203539823007,Prądnik Czerwony,2.7,3,No_data,Yes,Yes,No_data,No_data,No_data,0.035211267605633804
599000,3,50.98,Primary,Multi-family building,"Concrete, reinforced concrete",2025.0,Gas heating,Kitchenette,5.0,4.0,Nowa Huta,12.9,0,Yes,Yes,No_data,No_data,No_data,No_data,0.05884660651235779
1300000,4,71.5,Secondary,Tenement,No data,2002.136017628205,Gas heating,Kitchenette,3.0,4.0,Stare Miasto,0.4,0,Yes,No_data,Yes,No_data,No_data,No_data,0.055944055944055944
455000,2,31.17,Secondary,Apartment building,Large slab,1990.0,Central city heating,Dark/ semi-open kitchen,1.0,2.0,Łagiewniki-Borek Fałęcki,3.5,8,No_data,No_data,Yes,Yes,No_data,No_data,0.06416426050689765
1173122,4,70.67,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,3,Yes,Yes,Yes,Yes,No_data,No_data,0.05660110372152257
570000,3,46.0,Primary,Apartment building,Brick,2025.0,Gas heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,2,Yes,Yes,No_data,No_data,No_data,No_data,0.06521739130434782
967000,4,73.0,Primary,Apartment building,Brick,2025.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.0547945205479452
499000,1,33.58,Secondary,Tenement,Brick,1935.0,Electric heating,Bright kitchen,7.0,4.0,Stare Miasto,0.4,1,Yes,No_data,Yes,No_data,No_data,No_data,0.02977963073257892
