price,district,district_2,rooms,area,floor,levels,bathrooms,bathroom_with_toilet,market,type_of_contract,building_type,building_material,year_built,heating,kitchen_type,balcony,balcony_area,terrace,loggia,garden,windows,property_condition,form_of_ownership,advantages,link
699 450,"Kraków, ","Stare Miasto, ",1 pokój,"29,15",piętro 1/5,,1,Tak,Wtórny,,Kamienica,"Beton, cegła",,,Aneks kuchenny - połączony z jadalnią,,,,,,"PCV 3 szyby, ciepły montaż",Do wykończenia,Odrębna własność lokalu,"['kamienica', 'kuchnia otwarta', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-krowoderska/ob/40131949
,"Podgórze, ",ul. Łagiewnicka,2 pokoje,"44,27",piętro 1/6,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-lagiewnicka/ob/39275437
1 285 000,"Podgórze Duchackie, ","Kurdwanów, ",4 pokoje,"100,70",piętro 2/4,1,2,Tak,Wtórny,Na wyłączność,Blok,Cegła,1998,Miejskie,Półotwarta,Tak,15 m²,Nie,,,,Dobry,Własność,"['balkon', 'dwustronne', 'kuchnia otwarta', 'miejsce parkingowe', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-kordiana/ob/40380817
735 000,"Krowodrza, ",CONRADA  27,3 pokoje,54,parter/5,,,,Pierwotny,,Apartamentowiec,,2025,Miejskie,,,,,,,Nowe PCV,Do wykończenia,,"['kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'parking podziemny', 'cesja']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-conrada/oi/41214477
1 990 000,"Kraków-Krowodrza, ","Kraków, ",4 pokoje,"143,59",parter/2,2,,,Pierwotny,,,,2004,,,Tak,,Tak,,,,,,"['dwupoziomowe', 'kuchnia otwarta', 'miejsce parkingowe', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-chelmska/ob/40808933
699 990,"Kraków-Podgórze, ","Łagiewniki, ",4 pokoje,"61,63",parter/3,1,,,Pierwotny,Na wyłączność,,,2023,,,,,,,,,,,"['kuchnia otwarta', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-lagiewniki-borek-falecki-jana-skrzetuskiego/ob/37793379
,"Stare Miasto (historyczne), ","Stare Miasto, ",2 pokoje,"37,52",piętro 3,,,,Pierwotny,,,,2023,,Aneks,Tak,"3,66 m²",,,,,,,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-prandoty-10c/ob/39250647
792 110,"Kraków, ","Czyżyny, ",2 pokoje,"37,90",piętro 1/5,,1,Tak,Wtórny,,Apartamentowiec,Beton,2022,C.O. miejskie,Aneks kuchenny - połączony z salonem,Tak,"5,36 m²",,,,"PCV 3 szyby, ciepły montaż",Do wprowadzenia,Odrębna własność lokalu,"['komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-aleja-pokoju/ob/38811479
310 000,"Stare Miasto, ","Kleparz, ",1 pokój,19,parter/3,1,1,Tak,Wtórny,Na wyłączność,Kamienica,Cegła,2018,Podłogowe,Aneks,Nie,,Nie,,,,Bardzo dobry,Własność,"['miejsce parkingowe', 'ogrzewana podłoga']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-kamienna/ob/40865445
938 676,Podgórze,,4 pokoje,"82,34",piętro 2/5,,,,Pierwotny,,,,2027,,,Tak,"3,35 m²",,,,,,,"['komórka lokatorska', 'rowerownia / wózkownia', 'stacja ładowania', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze/ob/40781825
987 216,"Kraków, ","Łagiewniki, Łagiewniki, ",3 pokoje,"62,88",piętro 1/6,,1,,Pierwotny,,Apartamentowiec,"Beton, cegła",2026,C.O. miejskie,Aneks kuchenny - połączony z salonem,Tak,"7,74 m²",,,,PCV,Bardzo dobry,Umowa z Deweloperem,"['dla osób z niepełnosprawnością', 'komórka lokatorska', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'osiedle zamknięte', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-lagiewniki-borek-falecki-wadowicka/ob/38559705
2 135 000,"Kraków, ","Zwierzyniec, ",4 pokoje,"96,62",piętro 1/3,,2,,Wtórny,,Apartamentowiec,Ceramika,2023,C.O. miejskie,Aneks kuchenny - połączony z salonem,Tak,"10,75 m²",,,,"PCV 3 szyby, ciepły montaż",Deweloperski,Odrębna własność lokalu,"['komórka lokatorska', 'balkon', 'dwustronne', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny', 'siłownia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-zwierzyniec-brazownicza/ob/40949493
774 230,"Kraków, ","Bronowice, Bronowice, ",2 pokoje,"38,13",parter/4,,,,Pierwotny,,Blok,Rama H,2026,C.O. miejskie,Aneks kuchenny - połączony z jadalnią,,,,,,PCV,Deweloperski,Własność,"['dla osób z niepełnosprawnością', 'komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'balkon', 'dwupoziomowe', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-na-blonie/ob/41138067
563 214,"Rybitwy, ",Bukowa,2 pokoje,"47,73",piętro 1/5,,,,Pierwotny,,BLOK,YTONG,2027,,,,,,,,,DO WYKOŃCZENIA,,"['komórka lokatorska', 'balkon', 'miejsce parkingowe', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-bukowa/ob/39143241
940 000,"Zwierzyniec, ",Józefa Korzeniowskiego,2 pokoje,"61,30",piętro 1/2,,1,,Wtórny,,NISKI BLOK,MIESZANY,2005,C.O. GAZOWE,ANEKS KUCHENNY,Tak,,,,,,BARDZO WYSOKI STANDARD,WŁASNOŚĆ,"['komórka lokatorska', 'rowerownia / wózkownia', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'ogrzewana podłoga', 'osiedle zamknięte']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-zwierzyniec-jozefa-korzeniowskiego/ob/40520107
540 000,"Prądnik Czerwony, ","Kraków, ",2 pokoje,"33,80",parter/4,,,,Wtórny,,,,,,,,,,,,,,,[],https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony-rezedowa/oi/41004513
696 960,"Prądnik Biały, ",ul. Kuźnicy Kołłątajowskiej 42,2 pokoje,"48,40",piętro 4/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['komórka lokatorska', 'winda', 'balkon', 'miejsce parkingowe', 'ogródek']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-kuznicy-kollatajowskiej-42/ob/41025901
805 110,"Prądnik Biały, ",ul. Kuźnicy Kołłątajowskiej 42,3 pokoje,"57,10",piętro 1/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['komórka lokatorska', 'winda', 'balkon']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-kuznicy-kollatajowskiej-42/ob/41025863
799 000,"Podgórze, ",Szafrana,3 pokoje,65,piętro 2/4,,1,,Wtórny,,Blok,Mieszana,2001,Własne gazowe – piec II funkcyjny,Oddzielna,Tak,,,,,,Do remontu,,"['komórka lokatorska', 'piwnica', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-szafrana/ob/40644295
745 000,"Prądnik Biały, ",Eljasza Walerego Radzikowskiego,2 pokoje,50,piętro 5/6,,1,,Wtórny,,Apartamentowiec,,2008,Centralne,Aneks kuchenny,Tak,,Tak,,,,Do zamieszkania,Własność,"['winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-eljasza-walerego-radzikowskiego/ob/39977847
1 009 730,"Bronowice Małe, ",ks. Stanisława Truszkowskiego,3 pokoje,"67,95",parter/2,,1,,Pierwotny,,NISKI BLOK,,2024,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,['osiedle zamknięte'],https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-ks-stanislawa-truszkowskiego/ob/40237195
699 000,"Krowodrza, ","Bronowice, ",2 pokoje,43,piętro 2/3,,1,Tak,Wtórny,,Blok,"Beton, cegła",2006,Piec dwufunkcyjny,Jasna z oknem,Tak,6 m²,,,,PCV,Dobry,Własność,"['balkon', 'kuchnia osobna', 'miejsce parkingowe', 'osiedle zamknięte', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-wincentego-weryhy-darowskiego/ob/40356359
